risk_score,Location,lng,lat,riskarea,callsforservice,crime,notifications,latewater,baldue,potvacancy,vacancy,histvacancy,numberofticketsissued,totaloffinesissued
,"25 suffolk st, Chelsea MA",-71.035168,42.387612,0,7,2,1,824,140,0,1,0,4,370
,"147 essex st, Chelsea MA",-71.031609,42.387593,0,1,2,5,695,24454,1,1,1,6,221
,"145 congress av, Chelsea MA",-71.03307,42.388306,0,2,0,6,537,15904,1,0,1,1,87
,"78 essex st, Chelsea MA",-71.034398,42.388272,0,6,1,9,162,2450,1,0,1,5,217
,"152 congress av, Chelsea MA",-71.032777,42.388521,0,7,1,15,843,27058,0,0,1,8,80
,"161 central av, Chelsea MA",-71.029445,42.38865,1,8,2,3,253,27415,0,1,1,9,51
,"42 hawthorn st, Chelsea MA",-71.037005,42.388851,1,10,2,4,268,22620,0,1,1,6,276
,"68 maverick st, Chelsea MA",-71.032065,42.389005,0,10,2,6,887,14306,0,0,0,4,122
,"50 boatswains wy #513, Chelsea MA",-71.047954,42.389797,1,4,3,15,353,29270,0,1,1,6,175
,"98 highland st, Chelsea MA",-71.030046,42.38953,0,4,3,8,44,23177,0,0,1,4,185
,"104 highland st, Chelsea MA",-71.029973,42.389725,1,7,1,4,651,9832,0,1,1,5,181
,"105 shurtleff st, Chelsea MA",-71.034574,42.390013,1,7,3,10,887,27161,1,0,0,4,340
,"119 highland st, Chelsea MA",-71.029371,42.390026,1,6,3,7,661,26424,0,0,0,2,436
,"32 SECOND ST, Chelsea MA",-71.039943,42.390398,0,9,2,6,327,16164,0,0,0,0,63
,"128 highland st, Chelsea MA",-71.029635,42.39048,1,3,1,1,875,24027,1,1,0,0,277
,"136 HIGHLAND ST, Chelsea MA",-71.029461,42.390808,1,0,0,3,820,4141,0,0,0,0,366
,"137 bellingham st, Chelsea MA",-71.027413,42.390787,0,8,3,14,363,22145,0,1,1,3,239
,"144 bellingham st, Chelsea MA",-71.026938,42.3911,0,4,0,16,408,17710,0,1,1,5,21
,"87 bellingham st, Chelsea MA",-71.030701,42.391496,1,6,3,13,568,2317,1,0,0,2,159
,"99 bellingham st, Chelsea MA",-71.029967,42.391408,0,10,0,13,727,5081,1,1,0,7,191
,"98 bellingham st, Chelsea MA",-71.030001,42.391767,0,7,1,8,596,12176,0,0,0,0,124
,"100 captains rw #306, Chelsea MA",-71.044316,42.390039,0,4,3,15,405,22805,1,0,0,6,331
,"138 grove st, Chelsea MA",-71.027093,42.391769,0,6,1,9,889,8909,0,0,0,1,300
,"134 grove st, Chelsea MA",-71.02732,42.391814,1,8,1,4,815,10766,0,1,0,2,244
,"81 grove st, Chelsea MA",-71.03003,42.392091,1,9,1,8,557,6434,1,1,0,8,479
,"110 grove st, Chelsea MA",-71.028459,42.392032,0,3,2,13,939,2087,1,0,1,3,217
,"426 broadway, Chelsea MA",-71.035019,42.392506,0,8,3,12,31,20110,1,0,1,6,193
,"109 library st, Chelsea MA",-71.027895,42.392599,0,1,3,15,36,20787,1,0,1,1,494
,"63 library st, Chelsea MA",-71.029843,42.393097,1,10,1,8,299,15140,1,1,1,2,331
,"59 library st, Chelsea MA",-71.030093,42.393166,0,6,3,12,574,3080,0,0,0,9,487
,"27 library st, Chelsea MA",-71.031241,42.393476,1,7,1,6,326,18026,1,1,0,1,315
,"16 sixth st, Chelsea MA",-71.034049,42.394766,0,2,2,13,284,7124,1,1,0,9,303
,"58 cary av, Chelsea MA",-71.027927,42.395673,1,7,1,6,428,20204,0,0,0,6,11
,"17 heard st, Chelsea MA",-71.033204,42.395974,1,6,2,9,827,17997,0,1,1,9,78
,"93 washington av, Chelsea MA",-71.03231,42.396032,1,3,3,5,281,3744,0,0,0,3,63
,"7 albion pl, Chelsea MA",-71.033163,42.396206,1,6,0,14,858,26991,0,0,0,3,373
,"47 CLARK AVE, Chelsea MA",-71.02802,42.396864,1,6,2,4,477,6568,1,0,1,9,148
,"61 heard st, Chelsea MA",-71.034967,42.397285,0,6,2,2,307,881,0,0,1,2,78
,"65 heard st, Chelsea MA",-71.035052,42.397338,0,9,2,3,646,10610,0,1,0,8,92
,"85 blossom st, Chelsea MA",-71.035161,42.398422,0,9,1,2,141,22914,0,1,0,9,186
,"158 CARTER ST, Chelsea MA",-71.040076,42.399159,1,2,3,3,211,21971,0,1,1,6,351
,"123 addison st, Chelsea MA",-71.036215,42.400084,1,8,3,13,513,18586,0,1,0,4,208
,"110 bloomingdale st, Chelsea MA",-71.034935,42.400373,1,7,3,4,587,10914,0,1,1,4,442
,"8 summit av, Chelsea MA",-71.025138,42.400864,0,1,0,10,704,2180,1,1,1,5,127
,"19 marlboro st, Chelsea MA",-71.043096,42.429484,0,1,2,14,26,15941,0,0,0,4,107
,"22 marlboro st, Chelsea MA",-71.043056,42.429475,0,3,2,11,306,8620,0,0,1,3,315
,"141 marlboro st, Chelsea MA",-71.026829,42.391908,1,5,0,16,745,27148,1,0,1,6,282
,"22 lambert av, Chelsea MA",-71.031527,42.406032,0,7,2,10,361,5351,1,0,0,3,225
,"560 WASHINGTON AVE, Chelsea MA",-71.030383,42.409422,1,0,0,5,714,22733,1,0,1,6,409
